Plate_29L12AU294
Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
"S007","Tie-2","G01","4","","24.658203125","318.0","318.0","294.0","293.5","11.805189873301817","165.24657476605776","NaN","40.74683606291951","NaN","NaN"
"S007","Tie-2","G02","4","","24.658203125","269.0","269.0","294.0","293.5","11.805189873301817","NaN","NaN","NaN","NaN","NaN"
"S008","PIGF","H02","6","","0.0","316.0","316.0","318.0","318.0","0.8894424920585503","","NaN","NaN","NaN","NaN"
"S008","PIGF","H01","6","","0.0","320.0","320.0","318.0","318.0","0.8894424920585503","","NaN","0.0012134076585337934","NaN","NaN"
"S008","Tie-2","H01","4","","0.0","289.0","289.0","283.0","282.5","3.2539427098849973","","NaN","10.088288041436739","NaN","NaN"
"S008","Tie-2","H02","4","","0.0","276.0","276.0","283.0","282.5","3.2539427098849973","","NaN","NaN","NaN","NaN"
"S008","VEGF-A","H02","1","","0.0","186.0","186.0","186.0","186.0","0.0","","NaN","NaN","NaN","NaN"
"S008","VEGF-A","H01","1","","0.0","186.0","186.0","186.0","186.0","0.0","","NaN","NaN","NaN","NaN"
"S008","VEGF-C","H02","2","","0.0","283.0","283.0","261.0","260.5","12.214896412051685","","NaN","0.6427108172274434","NaN","NaN"
"S008","VEGF-C","H01","2","","0.0","238.0","238.0","261.0","260.5","12.214896412051685","","NaN","NaN","NaN","NaN"
"S008","VEGF-D","H02","3","","0.0","179.0","179.0","185.0","185.0","4.586638580669497","","NaN","NaN","NaN","NaN"
"S008","VEGF-D","H01","3","","0.0","191.0","191.0","185.0","185.0","4.586638580669497","","NaN","NaN","NaN","NaN"
"S008","bFGF","H02","7","","0.0","150.0","150.0","160.0","160.0","8.838834764831844","","NaN","NaN","NaN","NaN"
"S008","bFGF","H01","7","","0.0","170.0","170.0","160.0","160.0","8.838834764831844","","NaN","0.03448560479447789","NaN","NaN"
"U040","Flt-1","H11","5","2.0","","46606.0","46606.0","46606.0","46606.0","NaN","","","1912.5958895049366","1912.5958895049366","NaN"
"U040","PIGF","H11","6","2.0","","47281.0","47281.0","47281.0","47281.0","NaN","","","182.13241565772722","182.13241565772722","NaN"
"U040","Tie-2","H11","4","2.0","","16198.0","16198.0","16198.0","16198.0","NaN","","","27949.08353491879","27949.08353491879","NaN"
"U040","VEGF-A","H11","1","2.0","","82113.0","82113.0","82113.0","82113.0","NaN","","","446.358651455389","446.358651455389","NaN"
"U040","VEGF-C","H11","2","2.0","","33719.0","33719.0","33719.0","33719.0","NaN","","","4900.9273655586085","4900.9273655586085","NaN"
"U040","VEGF-D","H11","3","2.0","","234020.0","234020.0","234020.0","234020.0","NaN","","","8438.95499376693","8438.95499376693","NaN"
"U040","bFGF","H11","7","2.0","","87492.0","87492.0","87492.0","87492.0","NaN","","","464.47856462778975","464.47856462778975","NaN"
"U041","Flt-1","H12","5","2.0","","1028.0","1028.0","1028.0","1028.0","NaN","","","31.693885882856677","31.693885882856677","NaN"
"U041","PIGF","H12","6","2.0","","2567.0","2567.0","2567.0","2567.0","NaN","","","8.825714927410223","8.825714927410223","NaN"
