Plate_29L12AE581
Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
"S001","Flt-1","A01","5","","10200.0","467539.0","467539.0","468452.0","468452.0","0.27562631442423896","99.58609519698652","99.80197705864288","10157.781710092624","10179.801659981573","0.3059088262804487"
"S001","Flt-1","A02","5","","10200.0","469365.0","469365.0","468452.0","468452.0","0.27562631442423896","100.01785892029925","99.80197705864288","10201.821609870522","10179.801659981573","0.3059088262804487"
"S001","PIGF","A01","6","","1200.0","629885.0","629885.0","633061.0","633060.5","0.7093848324632106","99.70757783713302","100.21058076092606","1196.490934045596","1202.5269691311128","0.7098587308245781"
"S001","PIGF","A02","6","","1200.0","636236.0","636236.0","633061.0","633060.5","0.7093848324632106","100.7135836847191","100.21058076092606","1208.5630042166292","1202.5269691311128","0.7098587308245781"
"S001","Tie-2","A01","4","","101000.0","132653.0","132653.0","132041.0","132040.5","0.6560152430152268","105.17305734348037","104.69743356101817","106224.78791691517","105744.40789662836","0.6424547201085021"
"S001","Tie-2","A02","4","","101000.0","131428.0","131428.0","132041.0","132040.5","0.6560152430152268","104.22180977855598","104.69743356101817","105264.02787634154","105744.40789662836","0.6424547201085021"
"S001","VEGF-A","A01","1","","2010.0","842443.0","842443.0","841405.0","841405.0","0.17446457743218458","105.92798182977732","105.80248182726581","2129.152434778524","2126.6298847280423","0.16775013455676893"
"S001","VEGF-A","A02","1","","2010.0","840367.0","840367.0","841405.0","841405.0","0.17446457743218458","105.6769818247543","105.80248182726581","2124.107334677561","2126.6298847280423","0.16775013455676893"
"S001","VEGF-C","A01","2","","26800.0","552300.0","552300.0","516767.0","516767.0","9.72416011699725","110.45036261533609","104.06989023505298","29600.697180910072","27890.730582994198","8.670471885925055"
"S001","VEGF-C","A02","2","","26800.0","481234.0","481234.0","516767.0","516767.0","9.72416011699725","97.68941785476986","104.06989023505298","26180.76398507832","27890.730582994198","8.670471885925055"
"S001","VEGF-D","A01","3","","30600.0","1061163.0","1061163.0","1122304.0","1122304.0","7.704368104992356","87.07385089450649","95.73159773211955","26644.598373718985","29293.868906028583","12.7898241410392"
"S001","VEGF-D","A02","3","","30600.0","1183445.0","1183445.0","1122304.0","1122304.0","7.704368104992356","104.38934456973261","95.73159773211955","31943.139438338178","29293.868906028583","12.7898241410392"
"S001","bFGF","A01","7","","2720.0","853352.0","853352.0","870912.0","870912.0","2.851446547443547","97.11381704919778","99.43361730670162","2641.4958237381798","2704.5943907422843","3.299380104054038"
"S001","bFGF","A02","7","","2720.0","888472.0","888472.0","870912.0","870912.0","2.851446547443547","101.75341756420548","99.43361730670162","2767.6929577463893","2704.5943907422843","3.299380104054038"
"S002","Flt-1","B01","5","","2550.0","127278.0","127278.0","128401.0","128401.0","1.2368765278658156","100.10246496599065","101.0144363526322","2552.6128566327616","2575.8681269921212","1.2767702816084443"
"S002","Flt-1","B02","5","","2550.0","129524.0","129524.0","128401.0","128401.0","1.2368765278658156","101.92640773927376","101.0144363526322","2599.123397351481","2575.8681269921212","1.2767702816084443"
"S002","PIGF","B01","6","","300.0","163008.0","163008.0","162762.0","162762.0","0.21374555261288347","103.13749291707089","102.98170058221487","309.41247875121263","308.9451017466446","0.2139444499571603"
"S002","PIGF","B02","6","","300.0","162516.0","162516.0","162762.0","162762.0","0.21374555261288347","102.82590824735884","102.98170058221487","308.47772474207653","308.9451017466446","0.2139444499571603"
"S002","Tie-2","B01","4","","25250.0","29974.0","29974.0","30088.0","30087.5","0.5334881240692855","97.79772403968892","98.16205190576395","24693.92532002145","24785.918106205398","0.5248845142809277"
"S002","Tie-2","B02","4","","25250.0","30201.0","30201.0","30088.0","30087.5","0.5334881240692855","98.52637977183899","98.16205190576395","24877.910892389344","24785.918106205398","0.5248845142809277"
"S002","VEGF-A","B01","1","","502.5","197140.0","197140.0","191743.0","191743.0","3.9805941265796374","104.88803570573633","102.12436894647931","527.0623794213251","513.1749539560585","3.827113012438079"
"S002","VEGF-A","B02","1","","502.5","186346.0","186346.0","191743.0","191743.0","3.9805941265796374","99.36070218722229","102.12436894647931","499.287528490792","513.1749539560585","3.827113012438079"
"S002","VEGF-C","B01","2","","6700.0","111659.0","111659.0","108985.0","108985.0","3.4698417816999187","106.26313723399217","103.98693995374535","7119.630194677475","6967.124976900938","3.095608992623169"
"S002","VEGF-C","B02","2","","6700.0","106311.0","106311.0","108985.0","108985.0","3.4698417816999187","101.71074267349853","103.98693995374535","6814.619759124402","6967.124976900938","3.095608992623169"
"S002","VEGF-D","B01","3","","7650.0","461547.0","461547.0","423965.0","423965.0","12.536170226576642","121.04870900696432","110.63438244082577","9260.22623903277","8463.530256723172","13.312391272842378"
"S002","VEGF-D","B02","3","","7650.0","386383.0","386383.0","423965.0","423965.0","12.536170226576642","100.22005587468723","110.63438244082577","7666.834274413573","8463.530256723172","13.312391272842378"
"S002","bFGF","B01","7","","680.0","257156.0","257156.0","250861.0","250860.5","3.5490567394706707","105.39379759216125","102.70076207672567","716.6778236266965","698.3651821217345","3.7083730177543814"
"S002","bFGF","B02","7","","680.0","244565.0","244565.0","250861.0","250860.5","3.5490567394706707","100.00772656129008","102.70076207672567","680.0525406167726","698.3651821217345","3.7083730177543814"
"S003","Flt-1","C01","5","","637.5","32167.0","32167.0","32321.0","32320.5","0.6716535382319891","98.2444425561137","98.72109864895404","626.3083212952248","629.3470038870819","0.682826184379902"
"S003","Flt-1","C02","5","","637.5","32474.0","32474.0","32321.0","32320.5","0.6716535382319891","99.19775474179437","98.72109864895404","632.3856864789391","629.3470038870819","0.682826184379902"
"S003","PIGF","C01","6","","75.0","39067.0","39067.0","38630.0","38629.5","1.6016734193769762","98.46625170147901","97.35672001734741","73.84968877610926","73.01754001301057","1.6117169470191337"
"S003","PIGF","C02","6","","75.0","38192.0","38192.0","38630.0","38629.5","1.6016734193769762","96.24718833321583","97.35672001734741","72.18539124991187","73.01754001301057","1.6117169470191337"
"S003","Tie-2","C01","4","","6312.5","7213.0","7213.0","7264.0","7264.0","0.9929087511154715","95.19189690477977","95.86866568814342","6008.988492114223","6051.709521564054","0.9983403702905534"
"S003","Tie-2","C02","4","","6312.5","7315.0","7315.0","7264.0","7264.0","0.9929087511154715","96.54543447150708","95.86866568814342","6094.430551013885","6051.709521564054","0.9983403702905534"
"S003","VEGF-A","C01","1","","125.625","42200.0","42200.0","41878.0","41877.5","1.0890904993500643","95.14799390413758","94.44640927865035","119.52966734207283","118.64830165630451","1.0505327837177554"
"S003","VEGF-A","C02","1","","125.625","41555.0","41555.0","41878.0","41877.5","1.0890904993500643","93.74482465316314","94.44640927865035","117.7669359705362","118.64830165630451","1.0505327837177554"
"S003","VEGF-C","C01","2","","1675.0","20539.0","20539.0","20170.0","20170.0","2.5872325459378884","93.28583050404539","91.77055318337658","1562.5376609427603","1537.1567658215577","2.335090792537991"
"S003","VEGF-C","C02","2","","1675.0","19801.0","19801.0","20170.0","20170.0","2.5872325459378884","90.25527586270776","91.77055318337658","1511.775870700355","1537.1567658215577","2.335090792537991"
"S003","VEGF-D","C01","3","","1912.5","84350.0","84350.0","94328.0","94327.5","14.958856980814245","93.87910045884922","103.87415390299202","1795.4377962754913","1986.5931933947227","13.607947315317215"
"S003","VEGF-D","C02","3","","1912.5","104305.0","104305.0","94328.0","94327.5","14.958856980814245","113.86920734713483","103.87415390299202","2177.748590513954","1986.5931933947227","13.607947315317215"
"S003","bFGF","C01","7","","170.0","61670.0","61670.0","61487.0","61486.5","0.4220571811624713","97.24239423458427","96.94832452873311","165.31207019879324","164.81215169884626","0.42896807997390535"
"S003","bFGF","C02","7","","170.0","61303.0","61303.0","61487.0","61486.5","0.4220571811624713","96.65425482288194","96.94832452873311","164.3122331988993","164.81215169884626","0.42896807997390535"
"S004","Flt-1","D01","5","","159.375","8424.0","8424.0","8450.0","8450.0","0.43514263457633695","100.10729489407528","100.42545439358318","159.54600123743248","160.0530679397732","0.4480392764154391"
"S004","Flt-1","D02","5","","159.375","8476.0","8476.0","8450.0","8450.0","0.43514263457633695","100.7436138930911","100.42545439358318","160.56013464211395","160.0530679397732","0.4480392764154391"
"S004","PIGF","D01","6","","18.75","9979.0","9979.0","9901.0","9901.0","1.1141163303211938","98.62620155574314","97.83377894345304","18.492412791701838","18.343833551897447","1.1454681783062863"
"S004","PIGF","D02","6","","18.75","9823.0","9823.0","9901.0","9901.0","1.1141163303211938","97.04135633116294","97.83377894345304","18.195254312093052","18.343833551897447","1.1454681783062863"
"S004","Tie-2","D01","4","","1578.125","2052.0","2052.0","1959.0","1959.0","6.713724415553744","103.45463034240427","98.35749167883381","1632.6433850910676","1552.204165556596","7.3288190907260224"
"S004","Tie-2","D02","4","","1578.125","1866.0","1866.0","1959.0","1959.0","6.713724415553744","93.26035301526335","98.35749167883381","1471.7649460221246","1552.204165556596","7.3288190907260224"
"S004","VEGF-A","D01","1","","31.40625","10005.0","10005.0","9973.0","9972.5","0.4608868465994042","94.23184968895116","93.93229308988317","29.594690292936225","29.500610798541437","0.4510025159238134"
"S004","VEGF-A","D02","1","","31.40625","9940.0","9940.0","9973.0","9972.5","0.4608868465994042","93.63273649081519","93.93229308988317","29.406531304146647","29.500610798541437","0.4510025159238134"
"S004","VEGF-C","D01","2","","418.75","4733.0","4733.0","4701.0","4701.0","0.9626639862994903","96.79802690870936","96.1772287045617","405.34173768022043","402.74214520035207","0.9128369070597313"
"S004","VEGF-C","D02","2","","418.75","4669.0","4669.0","4701.0","4701.0","0.9626639862994903","95.55643050041404","96.1772287045617","400.14255272048376","402.74214520035207","0.9128369070597313"
"S004","VEGF-D","D01","3","","478.125","18848.0","18848.0","18420.0","18420.0","3.2860119690319474","98.66320515398861","96.67246555427022","471.73344964250805","462.21522593135444","2.912236617669044"
"S004","VEGF-D","D02","3","","478.125","17992.0","17992.0","18420.0","18420.0","3.2860119690319474","94.68172595455181","96.67246555427022","452.69700222020083","462.21522593135444","2.912236617669044"
"S004","bFGF","D01","7","","42.5","16650.0","16650.0","16707.0","16707.0","0.48249340429320897","103.04504974084008","103.40321348492203","43.794146139857034","43.94636573109186","0.48984940347611095"
"S004","bFGF","D02","7","","42.5","16764.0","16764.0","16707.0","16707.0","0.48249340429320897","103.76137722900398","103.40321348492203","44.09858532232669","43.94636573109186","0.48984940347611095"
"S005","Flt-1","E01","5","","39.84375","2276.0","2276.0","2270.0","2270.0","0.37380094159641275","100.49333753565986","100.20192691694773","40.040314174364475","39.92420525597136","0.4112863513531237"
"S005","Flt-1","E02","5","","39.84375","2264.0","2264.0","2270.0","2270.0","0.37380094159641275","99.91051629823559","100.20192691694773","39.80809633757824","39.92420525597136","0.4112863513531237"
"S005","PIGF","E01","6","","4.6875","2807.0","2807.0","2767.0","2766.5","2.0703289093117783","102.88545817366187","101.23712860947126","4.822755851890401","4.745490403568965","2.3026038538995266"
"S005","PIGF","E02","6","","4.6875","2726.0","2726.0","2767.0","2766.5","2.0703289093117783","99.58879904528065","101.23712860947126","4.66822495524753","4.745490403568965","2.3026038538995266"
"S005","Tie-2","E01","4","","394.53125","636.0","636.0","652.0","651.5","3.3645909772498808","99.74001342387861","103.24696687011243","393.50552171139606","407.3415489797404","4.803609516698185"
"S005","Tie-2","E02","4","","394.53125","667.0","667.0","652.0","651.5","3.3645909772498808","106.75392031634625","103.24696687011243","421.17757624808485","407.3415489797404","4.803609516698185"
"S005","VEGF-A","E01","1","","7.8515625","2696.0","2696.0","2666.0","2665.5","1.618214730909","101.7084114556509","100.52086132793991","7.98569949319759","7.892458252701532","1.6707472204478213"
"S005","VEGF-A","E02","1","","7.8515625","2635.0","2635.0","2666.0","2665.5","1.618214730909","99.33331120022893","100.52086132793991","7.799217012205475","7.892458252701532","1.6707472204478213"
"S005","VEGF-C","E01","2","","104.6875","1348.0","1348.0","1330.0","1329.5","1.9678789698309336","107.94938867944704","106.26481516003909","113.00951627379611","111.24597837066592","2.2418960729131014"
"S005","VEGF-C","E02","2","","104.6875","1311.0","1311.0","1330.0","1329.5","1.9678789698309336","104.58024164063116","106.26481516003909","109.48244046753574","111.24597837066592","2.2418960729131014"
"S005","VEGF-D","E01","3","","119.53125","3544.0","3544.0","3532.0","3531.5","0.5005711320873195","88.38881298863038","88.10314612935008","105.65225302547225","105.31079185773878","0.45854656100655106"
"S005","VEGF-D","E02","3","","119.53125","3519.0","3519.0","3532.0","3531.5","0.5005711320873195","87.8174792700698","88.10314612935008","104.96933069000531","105.31079185773878","0.45854656100655106"
"S005","bFGF","E01","7","","10.625","4057.0","4057.0","4089.0","4089.0","1.1067457568094656","97.11802308357797","97.91372840819199","10.318789952630159","10.403333643370397","1.1492742437815986"
"S005","bFGF","E02","7","","10.625","4121.0","4121.0","4089.0","4089.0","1.1067457568094656","98.70943373280599","97.91372840819199","10.487877334110635","10.403333643370397","1.1492742437815986"
"S006","Flt-1","F01","5","","9.9609375","704.0","704.0","717.0","716.5","2.467225335612518","97.30098650206345","99.7151135758458","9.692090452353977","9.932560141344014","3.423845319534448"
"S006","Flt-1","F02","5","","9.9609375","729.0","729.0","717.0","716.5","2.467225335612518","102.12924064962814","99.7151135758458","10.173029830334052","9.932560141344014","3.423845319534448"
"S006","PIGF","F01","6","","1.171875","909.0","909.0","897.0","897.0","1.8919244981579864","102.36519986253671","100.40848141719506","1.199592185889102","1.1766618916077545","2.755960177955522"
"S006","PIGF","F02","6","","1.171875","885.0","885.0","897.0","897.0","1.8919244981579864","98.45176297185341","100.40848141719506","1.153731597326407","1.1766618916077545","2.755960177955522"
"S006","Tie-2","F01","4","","98.6328125","339.0","339.0","333.0","332.5","2.7646280166692083","126.989302664212","120.93374567940961","125.25312079184972","119.28035462519892","7.081440145195783"
"S006","Tie-2","F02","4","","98.6328125","326.0","326.0","333.0","332.5","2.7646280166692083","114.8781886946072","120.93374567940961","113.30758845854811","119.28035462519892","7.081440145195783"
"S006","VEGF-A","F01","1","","1.962890625","822.0","822.0","800.0","799.5","3.9799631211250333","108.81660285733898","105.11221925159376","2.135950895930189","2.063237897418979","4.983996696842655"
"S006","VEGF-A","F02","1","","1.962890625","777.0","777.0","800.0","799.5","3.9799631211250333","101.40783564584854","105.11221925159376","1.990524898907769","2.063237897418979","4.983996696842655"
"S006","VEGF-C","F01","2","","26.171875","548.0","548.0","530.0","530.0","4.802989457116172","122.59129648249055","114.87648274826654","32.08444087627682","30.065329469272882","9.49750023077414"
"S006","VEGF-C","F02","2","","26.171875","512.0","512.0","530.0","530.0","4.802989457116172","107.16166901404252","114.87648274826654","28.046218062268938","30.065329469272882","9.49750023077414"
"S006","VEGF-D","F01","3","","29.8828125","1072.0","1072.0","1013.0","1013.0","8.236781853900554","112.09878148178692","105.66904883298402","33.4982686849871","31.57688373329405","8.605183083215003"
"S006","VEGF-D","F02","3","","29.8828125","954.0","954.0","1013.0","1013.0","8.236781853900554","99.23931618418112","105.66904883298402","29.655498781600997","31.57688373329405","8.605183083215003"
"S006","bFGF","F01","7","","2.65625","1072.0","1072.0","1125.0","1125.0","6.662517227179913","92.50871407331968","97.74052126768709","2.457262717572554","2.5962325961729382","7.569933732736894"
"S006","bFGF","F02","7","","2.65625","1178.0","1178.0","1125.0","1125.0","6.662517227179913","102.9723284620545","97.74052126768709","2.7352024747733226","2.5962325961729382","7.569933732736894"
"S007","Flt-1","G01","5","","2.490234375","323.0","323.0","330.0","329.5","2.7897991366995805","95.53038682667682","100.5248227951539","2.3789305313283777","2.503303692652758","7.026323336493154"
"S007","Flt-1","G02","5","","2.490234375","336.0","336.0","330.0","329.5","2.7897991366995805","105.51925876363097","100.5248227951539","2.6276768539771385","2.503303692652758","7.026323336493154"
"S007","PIGF","G01","6","","0.29296875","434.0","434.0","444.0","444.0","3.1851656810204845","99.45831083505948","105.99077092445988","0.2913817700245883","0.3105198366927535","8.716130256921312"
"S007","PIGF","G02","6","","0.29296875","454.0","454.0","444.0","444.0","3.1851656810204845","112.52323101386028","105.99077092445988","0.32965790336091877","0.3105198366927535","8.716130256921312"
"S007","Tie-2","G01","4","","24.658203125","216.0","216.0","226.0","225.5","5.95788418738111","41.71991012620799","78.7041724512314","10.28738018248781","19.40703471087493","66.4560006736899"
"S007","Tie-2","G02","4","","24.658203125","235.0","235.0","226.0","225.5","5.95788418738111","115.68843477625481","78.7041724512314","28.52668923926205","19.40703471087493","66.4560006736899"
"S007","VEGF-A","G01","1","","0.49072265625","342.0","342.0","347.0","346.5","1.8366409900949288","112.6783979838176","115.80437348675821","0.5529384276061362","0.5682782976278906","3.817469771476424"
"S007","VEGF-A","G02","1","","0.49072265625","351.0","351.0","347.0","346.5","1.8366409900949288","118.93034898969881","115.80437348675821","0.583618167649645","0.5682782976278906","3.817469771476424"
"S007","VEGF-C","G01","2","","6.54296875","330.0","330.0","346.0","345.5","6.344518152469745","90.7468401550841","122.115043372827","5.937537392959604","7.989949126933016","36.327496754325885"
"S007","VEGF-C","G02","2","","6.54296875","361.0","361.0","346.0","345.5","6.344518152469745","153.4832465905699","122.115043372827","10.04236086090643","7.989949126933016","36.327496754325885"
"S007","VEGF-D","G01","3","","7.470703125","392.0","392.0","400.0","399.5","2.654969140875648","133.12237099727125","136.9811700374574","9.945177130167236","10.23345655064989","3.9838803651708097"
"S007","VEGF-D","G02","3","","7.470703125","407.0","407.0","400.0","399.5","2.654969140875648","140.8399690776435","136.9811700374574","10.521735971132546","10.23345655064989","3.9838803651708097"
"S007","bFGF","G01","7","","0.6640625","392.0","392.0","399.0","398.5","2.3067473413864787","102.29246791697157","104.84228065427376","0.6792859197611394","0.6962182699697868","3.4394327671060934"
"S007","bFGF","G02","7","","0.6640625","405.0","405.0","399.0","398.5","2.3067473413864787","107.39209339157595","104.84228065427376","0.7131506201784341","0.6962182699697868","3.4394327671060934"
"S008","Flt-1","H01","5","","0.0","195.0","195.0","198.0","198.0","2.1427478217774167","","NaN","NaN","NaN","NaN"
"S008","Flt-1","H02","5","","0.0","201.0","201.0","198.0","198.0","2.1427478217774167","","NaN","0.05312629746916162","NaN","NaN"
"S008","PIGF","H01","6","","0.0","291.0","291.0","278.0","278.0","6.6132288887950486","","NaN","0.01742725005884121","NaN","NaN"
"S008","PIGF","H02","6","","0.0","265.0","265.0","278.0","278.0","6.6132288887950486","","NaN","NaN","NaN","NaN"
"S008","Tie-2","H01","4","","0.0","211.0","211.0","201.0","201.0","7.035888370015399","","NaN","5.38635158286855","NaN","NaN"
"S008","Tie-2","H02","4","","0.0","191.0","191.0","201.0","201.0","7.035888370015399","","NaN","NaN","NaN","NaN"
"S008","VEGF-A","H01","1","","0.0","197.0","197.0","179.0","179.0","14.221141967997603","","NaN","0.04185242232697273","NaN","NaN"
"S008","VEGF-A","H02","1","","0.0","161.0","161.0","179.0","179.0","14.221141967997603","","NaN","NaN","NaN","NaN"
"S008","VEGF-C","H01","2","","0.0","273.0","273.0","274.0","273.5","0.2585399565581527","","NaN","NaN","NaN","NaN"
"S008","VEGF-C","H02","2","","0.0","274.0","274.0","274.0","273.5","0.2585399565581527","","NaN","NaN","NaN","NaN"
"S008","VEGF-D","H01","3","","0.0","153.0","153.0","157.0","156.5","3.1627779350197014","","NaN","NaN","NaN","NaN"
"S008","VEGF-D","H02","3","","0.0","160.0","160.0","157.0","156.5","3.1627779350197014","","NaN","NaN","NaN","NaN"
"S008","bFGF","H01","7","","0.0","116.0","116.0","129.0","129.0","14.251764582054447","","NaN","NaN","NaN","NaN"
"S008","bFGF","H02","7","","0.0","142.0","142.0","129.0","129.0","14.251764582054447","","NaN","0.030811527488866165","NaN","NaN"
"U001","Flt-1","A03","5","2.0","","1706.0","1706.0","1777.0","1777.0","5.650487503010115","","","58.034928119932104","60.77944529932505","6.385930964240883"
"U001","Flt-1","A04","5","2.0","","1848.0","1848.0","1777.0","1777.0","5.650487503010115","","","63.52396247871798","60.77944529932505","6.385930964240883"
"U001","PIGF","A03","6","2.0","","746.0","746.0","777.0","776.5","5.554863316468693","","","1.776155804530971","1.8927475635678515","8.711444149481869"
"U001","PIGF","A04","6","2.0","","807.0","807.0","777.0","776.5","5.554863316468693","","","2.009339322604732","1.8927475635678515","8.711444149481869"
"U001","Tie-2","A03","4","2.0","","1501.0","1501.0","1592.0","1592.0","8.083758428137667","","","2309.604125170878","2467.8773021292245","9.069821794675665"
"U001","Tie-2","A04","4","2.0","","1683.0","1683.0","1592.0","1592.0","8.083758428137667","","","2626.1504790875706","2467.8773021292245","9.069821794675665"
"U001","VEGF-A","A03","1","2.0","","8732.0","8732.0","8798.0","8797.5","1.0529239935826964","","","51.80041699691576","52.181561765638236","1.0329704265575137"
"U001","VEGF-A","A04","1","2.0","","8863.0","8863.0","8798.0","8797.5","1.0529239935826964","","","52.562706534360714","52.181561765638236","1.0329704265575137"
"U001","VEGF-C","A03","2","2.0","","3362.0","3362.0","3270.0","3269.5","4.001062991879838","","","583.789430948982","568.0937196449929","3.907293291512747"
"U001","VEGF-C","A04","2","2.0","","3177.0","3177.0","3270.0","3269.5","4.001062991879838","","","552.3980083410039","568.0937196449929","3.907293291512747"
"U001","VEGF-D","A03","3","2.0","","8071.0","8071.0","7489.0","7489.0","10.990416521580203","","","444.0935852000747","415.22865777021025","9.831010236008368"
"U001","VEGF-D","A04","3","2.0","","6907.0","6907.0","7489.0","7489.0","10.990416521580203","","","386.36373034034574","415.22865777021025","9.831010236008368"
"U001","bFGF","A03","7","2.0","","623.0","623.0","656.0","656.0","7.114184079010996","","","2.563999547219595","2.7364999996537342","8.914762630320627"
"U001","bFGF","A04","7","2.0","","689.0","689.0","656.0","656.0","7.114184079010996","","","2.909000452087874","2.7364999996537342","8.914762630320627"
"U002","Flt-1","B03","5","2.0","","1519.0","1519.0","1524.0","1524.0","0.463980827550228","","","50.80993075660076","51.00305859458699","0.5355051545495255"
"U002","Flt-1","B04","5","2.0","","1529.0","1529.0","1524.0","1524.0","0.463980827550228","","","51.19618643257323","51.00305859458699","0.5355051545495255"
"U002","PIGF","B03","6","2.0","","891.0","891.0","894.0","894.0","0.4745683095211728","","","2.330393877314709","2.3418590885332833","0.6923669011586396"
"U002","PIGF","B04","6","2.0","","897.0","897.0","894.0","894.0","0.4745683095211728","","","2.3533242997518573","2.3418590885332833","0.6923669011586396"
"U002","Tie-2","B03","4","2.0","","1495.0","1495.0","1337.0","1336.5","16.7716310988504","","","2299.151821521492","2022.1651221975642","19.37123444969528"
"U002","Tie-2","B04","4","2.0","","1178.0","1178.0","1337.0","1336.5","16.7716310988504","","","1745.1784228736365","2022.1651221975642","19.37123444969528"
"U002","VEGF-A","B03","1","2.0","","17910.0","17910.0","17372.0","17372.0","4.379731156785201","","","104.36491936835958","101.31903336339246","4.251455185342542"
"U002","VEGF-A","B04","1","2.0","","16834.0","16834.0","17372.0","17372.0","4.379731156785201","","","98.27314735842536","101.31903336339246","4.251455185342542"
"U002","VEGF-C","B03","2","2.0","","7031.0","7031.0","7122.0","7122.0","1.8069844731248472","","","1174.7009561552811","1188.7879175648654","1.6758222037509638"
"U002","VEGF-C","B04","2","2.0","","7213.0","7213.0","7122.0","7122.0","1.8069844731248472","","","1202.87487897445","1188.7879175648654","1.6758222037509638"
"U002","VEGF-D","B03","3","2.0","","13532.0","13532.0","13369.0","13369.0","1.724263674671363","","","703.3002350108851","695.772364843203","1.5301004502124709"
"U002","VEGF-D","B04","3","2.0","","13206.0","13206.0","13369.0","13369.0","1.724263674671363","","","688.244494675521","695.772364843203","1.5301004502124709"
"U002","bFGF","B03","7","2.0","","11205.0","11205.0","11081.0","11081.0","1.5825510489510313","","","58.55749892944999","57.89766189793983","1.6117239424324272"
"U002","bFGF","B04","7","2.0","","10957.0","10957.0","11081.0","11081.0","1.5825510489510313","","","57.23782486642967","57.89766189793983","1.6117239424324272"
"U003","Flt-1","C03","5","2.0","","1888.0","1888.0","1834.0","1834.0","4.163987588230487","","","65.0705581415985","62.98284753936981","4.687734459983511"
"U003","Flt-1","C04","5","2.0","","1780.0","1780.0","1834.0","1834.0","4.163987588230487","","","60.89513693714112","62.98284753936981","4.687734459983511"
"U003","PIGF","C03","6","2.0","","1187.0","1187.0","1058.0","1058.0","17.24324664897252","","","3.4613589183888576","2.9684872508163638","23.480841852993493"
"U003","PIGF","C04","6","2.0","","929.0","929.0","1058.0","1058.0","17.24324664897252","","","2.4756155832438695","2.9684872508163638","23.480841852993493"
"U003","Tie-2","C03","4","2.0","","2811.0","2811.0","2929.0","2929.0","5.697412098327936","","","4571.206386351059","4773.272594343875","5.986768327024991"
"U003","Tie-2","C04","4","2.0","","3047.0","3047.0","2929.0","2929.0","5.697412098327936","","","4975.3388023366915","4773.272594343875","5.986768327024991"
"U003","VEGF-A","C03","1","2.0","","10987.0","10987.0","10687.0","10686.5","3.976710574024377","","","64.86300757281656","63.128111139773395","3.8865634035682906"
"U003","VEGF-A","C04","1","2.0","","10386.0","10386.0","10687.0","10686.5","3.976710574024377","","","61.39321470673023","63.128111139773395","3.8865634035682906"
"U003","VEGF-C","C03","2","2.0","","10775.0","10775.0","10288.0","10288.0","6.69442073168446","","","1740.1770516290449","1667.8928223825296","6.129011167521069"
"U003","VEGF-C","C04","2","2.0","","9801.0","9801.0","10288.0","10288.0","6.69442073168446","","","1595.6085931360146","1667.8928223825296","6.129011167521069"
"U003","VEGF-D","C03","3","2.0","","8089.0","8089.0","8064.0","8064.0","0.4384342641285637","","","444.97772641670616","443.74944811111675","0.3914478869837983"
"U003","VEGF-D","C04","3","2.0","","8039.0","8039.0","8064.0","8064.0","0.4384342641285637","","","442.5211698055273","443.74944811111675","0.3914478869837983"
"U003","bFGF","C03","7","2.0","","19843.0","19843.0","19044.0","19044.0","5.933399686705014","","","104.65741287643755","100.38418015849685","6.020135498787217"
"U003","bFGF","C04","7","2.0","","18245.0","18245.0","19044.0","19044.0","5.933399686705014","","","96.11094744055615","100.38418015849685","6.020135498787217"
"U004","Flt-1","D03","5","2.0","","1691.0","1691.0","1720.0","1719.5","2.3440003796239144","","","57.45523082914143","58.556723117067335","2.66023310307158"
"U004","Flt-1","D04","5","2.0","","1748.0","1748.0","1720.0","1719.5","2.3440003796239144","","","59.65821540499325","58.556723117067335","2.66023310307158"
"U004","PIGF","D03","6","2.0","","981.0","981.0","980.0","980.0","0.14430750636460155","","","2.6743241720079096","2.6705030149569016","0.20235633868327155"
"U004","PIGF","D04","6","2.0","","979.0","979.0","980.0","980.0","0.14430750636460155","","","2.6666818579058935","2.6705030149569016","0.20235633868327155"
"U004","Tie-2","D03","4","2.0","","2979.0","2979.0","3122.0","3122.0","6.477659814841531","","","4858.97602560234","5103.467900387983","6.775073968538028"
"U004","Tie-2","D04","4","2.0","","3265.0","3265.0","3122.0","3122.0","6.477659814841531","","","5347.9597751736255","5103.467900387983","6.775073968538028"
"U004","VEGF-A","D03","1","2.0","","7163.0","7163.0","7117.0","7116.5","0.9240628209140579","","","42.63197934167977","42.35905076584154","0.911208552909434"
"U004","VEGF-A","D04","1","2.0","","7070.0","7070.0","7117.0","7116.5","0.9240628209140579","","","42.08612219000331","42.35905076584154","0.911208552909434"
"U004","VEGF-C","D03","2","2.0","","7349.0","7349.0","7327.0","7327.0","0.42463079530787623","","","1223.8744027083542","1220.4798890364548","0.39333440194995645"
"U004","VEGF-C","D04","2","2.0","","7305.0","7305.0","7327.0","7327.0","0.42463079530787623","","","1217.0853753645554","1220.4798890364548","0.39333440194995645"
