Plate_2BL8LAY148: Plate Analysis Properties
Assay,Spot,Algorithm,Algorithm Parameter: Initial Top,Algorithm Parameter: Initial Bottom,Algorithm Parameter: Initial MidPoint,Algorithm Parameter: Initial HillSlope,Algorithm Parameter: Weighting,Algorithm Parameter: Max Iteration,Fit Statistic: RSquared,Algorithm Parameter: Calc. Top,Algorithm Parameter: Calc. Bottom,Algorithm Parameter: Calc. MidPoint,Algorithm Parameter: Calc. HillSlope,Detection Limits: Calc. Low,Detection Limits: Calc. High
"IFN-γ","1","FourPL","438667.24","286.2","735.3746780951531","1.0","1/y^2","500","0.9996056887657586","3.6663350417379147E8","339.4177745247324","3592858.6669979175","0.8787473484193193","0.11062028746497453","1530.0000000001212"
"IL-10","7","FourPL","806267.85","287.55","182.28215758058488","1.0","1/y^2","500","0.999626239137684","6.4186853305433E8","332.96113115026134","1281348.4125661505","0.8379639347423321","0.002989070138334934","391.0000000000014"
"IL-12p70","8","FourPL","499363.19","281.25","212.9897318065831","1.0","1/y^2","500","0.9999252988967582","5.702339388596313E8","331.7734688461087","1941663.425878288","0.8519831806796885","0.007217799660766868","463.99999999995714"
"IL-13","9","FourPL","963744.02","236.25","269.1197182796873","1.0","1/y^2","500","0.999855954802274","2.855102704834527E8","313.52166059470596","39600.92424407004","1.3082360567206643","0.21752053135311258","493.00000000001137"
"IL-1β","2","FourPL","1056907.43","1208.25","284.94492290876815","1.0","1/y^2","500","0.9999434217054138","8.126142835732026E8","1438.8283675676387","1456406.42294135","0.8611971358242809","0.019733434837059215","621.999999999946"
"IL-2","3","FourPL","1166658.07","299.25","702.8556379964889","1.0","1/y^2","500","0.9996004603472938","9.658686851307626E8","344.8861277294694","5062592.342369753","0.8402008381667687","0.007655926317784627","1499.9999999999088"
"IL-4","4","FourPL","969593.9400000001","187.65","102.7244083973788","1.0","1/y^2","500","0.9999044968387746","6.297882321992608E8","212.6631691883236","598255.8139903918","0.8298906744237198","0.0024512686263931","224.9999999999936"
"IL-6","5","FourPL","1018439.56","182.70000000000002","392.74664086628286","1.0","1/y^2","500","0.996744602787003","7.36973648598997E8","219.3246047096714","1187098.349004873","0.9313089725944019","0.01750336903377174","755.9999999999699"
"IL-8","6","FourPL","946686.13","212.85","299.6325563128092","1.0","1/y^2","500","0.9992207670460378","9.452519171035365E8","247.92398089546919","1883079.7973246225","0.8791389980430507","0.00717492889726927","616.9999999999847"
"TNF-α","10","FourPL","328770.15","364.05","169.58456909285388","1.0","1/y^2","500","0.9987033006804603","7.279461526478833E8","440.36134884755876","1707195.869027166","0.9186646232376919","0.01990469076417841","336.99999999995447"
