Plate_2BL8LA1150: Plate Analysis Properties
Assay,Spot,Algorithm,Algorithm Parameter: Initial Top,Algorithm Parameter: Initial Bottom,Algorithm Parameter: Initial MidPoint,Algorithm Parameter: Initial HillSlope,Algorithm Parameter: Weighting,Algorithm Parameter: Max Iteration,Fit Statistic: RSquared,Algorithm Parameter: Calc. Top,Algorithm Parameter: Calc. Bottom,Algorithm Parameter: Calc. MidPoint,Algorithm Parameter: Calc. HillSlope,Detection Limits: Calc. Low,Detection Limits: Calc. High
"IFN-γ","1","FourPL","456310.425","252.9","735.4060142505939","1.0","1/y^2","500","0.999587645252032","4.913917822434349E8","302.15211423998005","4906474.327359662","0.8768588126839634","0.10421433503505455","1530.0000000002146"
"IL-10","7","FourPL","810276.54","279.90000000000003","181.9382630800386","1.0","1/y^2","500","0.9998089469086049","9.135120098752741E8","324.30710467357994","1749545.8817963481","0.8457598264965441","0.005251058234170721","391.00000000002433"
"IL-12p70","8","FourPL","509917.185","269.1","213.5683006489339","1.0","1/y^2","500","0.999930090724259","4.4487002280462444E8","316.4214747045304","1470573.000797423","0.8483677409220345","0.0067434772393398755","463.99999999996817"
"IL-13","9","FourPL","1111896.8800000001","261.45","269.8971059517727","1.0","1/y^2","500","0.9997508533448927","1.51942127995543E8","332.26250330602295","19158.193429162064","1.34468585546153","0.23359254327714643","492.99999999999693"
"IL-1β","2","FourPL","1146219.71","1194.75","285.15527927065966","1.0","1/y^2","500","0.9999266836803087","6.116553389757653E8","1401.0680144844882","871026.813944667","0.869868396964686","0.007917182452144428","621.9999999999754"
"IL-2","3","FourPL","1052795.72","299.7","697.7178502038395","1.0","1/y^2","500","0.9997374941228251","5.585001815070573E8","347.49678435617454","2898429.462595901","0.8425402091311848","0.012351326366612823","1499.9999999999384"
"IL-4","4","FourPL","920989.71","189.45000000000002","102.90047971075685","1.0","1/y^2","500","0.9998627457219197","1.100053377352232E9","215.80031797088992","1335189.1664026903","0.8247859993643812","0.0011798361997901851","224.9999999999842"
"IL-6","5","FourPL","887523.865","171.45000000000002","397.3958560099518","1.0","1/y^2","500","0.9965998352189984","4.883598071428405E8","210.3461292780922","756577.3138195522","0.9537258992257898","0.02856077340723287","755.9999999999604"
"IL-8","6","FourPL","1130080.92","212.4","306.49185547395166","1.0","1/y^2","500","0.9978850767264708","8.29526672571822E8","247.3391405515545","1486206.061270536","0.8748342837871999","0.008881427657252942","617.0000000000459"
"TNF-α","10","FourPL","409929.205","321.75","173.51016772742497","1.0","1/y^2","500","0.997005488204479","6.919599350875E8","389.4451381914017","1363523.6473979582","0.9154452140236284","0.0410807756533751","337.0000000000704"
